,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
1cha_one_component,0.0027642083460045546,0.2345125202220465,-0.27207218150381185,-0.21149385013066696,0.5230922518161303,0.5239695632151885,0.5273269472860297
1cha_second_component,0.5030930051241272,0.6781697608247381,0.4896541038384986,0.21295047306520754,-0.009295427713996274,0.04226926476592868,0.0010308216502955825
""
,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10
10cha_one_component,0.011637853559119246,0.10498248656009497,0.04938453998151171,-0.055748692986994745,-0.5334206179537938,-0.5910573791798632,-0.5911092176409346
10cha_second_component,0.6605136105631843,0.10567409411089168,-0.7108521343051823,-0.15778051475237723,-0.12674844931703472,0.07446613610750978,0.027183332794502184
""
,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11
11cha_one_component,0.1513651434314296,-0.14486626666999058,-0.4413629776467224,0.3213128862563865,-0.45975208451850114,-0.4764065918687771,-0.4687471485015778
11cha_second_component,0.30472835646854995,0.7437856752853009,-0.027582938077623687,-0.5254576286290271,-0.09949137547423667,-0.16821411048205168,-0.19713558605159476
""
,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
12cha_one_component,0.21703147486163402,-0.3654476365409639,0.15354089241935076,-0.1652654918753098,0.5089670920743182,0.5065483909611402,0.5028111993744586
12cha_second_component,0.5876566608995705,-0.048251161798525455,-0.4544261953725042,0.6631697588079845,-0.02755653462527001,0.02918708184487627,0.06650511183448311
""
,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13
13cha_one_component,-0.20714707479366032,-0.3640485941276732,-0.03347843202406847,-0.3079307836877243,0.49256288719849894,0.49355681014085256,0.49234136011819385
13cha_second_component,0.3329312529536046,0.241643713874997,0.7929435168285962,0.3067630844896258,0.22173517989562064,0.16245536985852166,0.17984395532276543
""
,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14
14cha_one_component,-0.19904055398175846,-0.24193099328777212,0.01059866252671332,-0.21555674206714884,-0.5163296184720174,-0.540776743637575,-0.5442788350549281
14cha_second_component,-0.2832865898519233,-0.4861458469855544,-0.598569001354669,-0.4872749845163882,0.18314440354294348,0.1747997832342957,0.15359793873205976
""
,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
15cha_one_component,-0.017396063965829798,0.033924375476704016,-0.008178918422050319,-0.0372805726942216,0.5759118097446715,0.577159957149677,0.5764561988214275
15cha_second_component,0.21893919272293688,0.7119401464086108,0.6647278031771389,0.05415254906071368,0.004972893721719107,-0.011047090208738966,-0.016264656805127307
""
,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
16cha_one_component,0.3666955917628005,0.12796057401903072,-0.25502676817509434,0.174507797449052,-0.4346382827294189,-0.5301951413065061,-0.5325894159135094
16cha_second_component,0.20879014345545788,-0.6769231573086227,-0.5682001849121239,-0.3892651871476841,0.1512607152594504,-0.02039945812981514,0.022515265112622918
""
,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
2cha_one_component,-0.1383522423211835,-0.05184351462880277,-0.030809768397633774,-0.24760129042460294,0.5534306323270455,0.5520468658749853,0.552154017704011
2cha_second_component,0.6398490583067841,-0.3056020033746326,-0.6397360417414486,-0.2917006613390701,0.027236547629364838,-0.04042159447239724,-0.021757397873084394
""
,burstduration_3,burstinterval_3,Ku_3,CorrDim_3,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3
3cha_one_component,-0.08352593739703996,0.09422061905918494,-0.008100563174544485,-0.059589145566802476,0.5594983494019153,0.573107445277383,0.5822704358947718
3cha_second_component,0.5990144195756848,-0.5984975046685844,0.10042322337311431,-0.508141158406077,0.10798875465882052,-0.02227212847642379,0.05032477071318536
""
