,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
15cha_one_component,0.5794337541553658,0.5740860217069343,0.5785168659824227
15cha_second_component,-0.34656216819581637,0.8160015533341988,-0.462640387916565
""
,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
16cha_one_component,0.5775941591265263,0.5761092137066175,0.5783451921000675
16cha_second_component,-0.5207807804871182,0.805626237787761,-0.2824070531399084
""
,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
2cha_one_component,0.5786077217513408,0.5752654378696517,0.5781719297253725
2cha_second_component,0.36298665296670973,-0.8164390636102192,0.4490745430096146
""
,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3
3cha_one_component,0.5779422223040266,0.576523207969591,0.5775844339581311
3cha_second_component,-0.31781518234520995,0.810885657506746,-0.49138372004039127
""
,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4
4cha_one_component,0.5778089533246568,0.5765231582163732,0.5777178043803771
4cha_second_component,-0.3848673863210088,0.8166625822256515,-0.43004572052162887
""
